t,Vehicle_State,shutdown_reason
1751195964.959550,4.000000,0.000000
1751195964.969500,4.000000,0.000000
1751195964.979500,4.000000,0.000000
1751195964.989500,4.000000,0.000000
1751195964.999500,4.000000,0.000000
1751195965.009500,4.000000,0.000000
1751195965.019500,4.000000,0.000000
1751195965.029750,4.000000,0.000000
1751195965.039500,4.000000,0.000000
1751195965.049550,4.000000,0.000000
1751195965.059500,4.000000,0.000000
1751195965.069500,4.000000,0.000000
1751195965.079500,4.000000,0.000000
1751195965.089500,4.000000,0.000000
1751195965.099500,4.000000,0.000000
1751195965.109500,4.000000,0.000000
1751195965.119500,4.000000,0.000000
1751195965.129500,4.000000,0.000000
1751195965.139500,4.000000,0.000000
1751195965.149500,4.000000,0.000000
1751195965.159500,4.000000,0.000000
1751195965.169500,4.000000,0.000000
1751195965.179500,4.000000,0.000000
1751195965.189500,4.000000,0.000000
1751195965.199500,4.000000,0.000000
1751195965.209500,4.000000,0.000000
1751195965.219450,4.000000,0.000000
1751195965.229550,4.000000,0.000000
1751195965.239450,4.000000,0.000000
1751195965.249500,4.000000,0.000000
1751195965.259500,4.000000,0.000000
1751195965.269450,4.000000,0.000000
1751195965.279500,4.000000,0.000000
1751195965.289500,4.000000,0.000000
1751195965.299500,4.000000,0.000000
1751195965.309500,4.000000,0.000000
1751195965.319500,4.000000,0.000000
1751195965.329550,4.000000,0.000000
1751195965.339500,4.000000,0.000000
1751195965.349500,4.000000,0.000000
1751195965.359500,4.000000,0.000000
1751195965.369500,4.000000,0.000000
1751195965.379500,4.000000,0.000000
1751195965.389500,4.000000,0.000000
1751195965.399500,4.000000,0.000000
1751195965.409500,4.000000,0.000000
1751195965.419450,4.000000,0.000000
1751195965.429500,4.000000,0.000000
1751195965.439500,4.000000,0.000000
1751195965.449500,4.000000,0.000000
1751195965.459450,4.000000,0.000000
1751195965.469500,4.000000,0.000000
1751195965.479450,4.000000,0.000000
1751195965.489500,4.000000,0.000000
1751195965.499500,4.000000,0.000000
1751195965.509500,4.000000,0.000000
1751195965.519500,4.000000,0.000000
1751195965.529500,4.000000,0.000000
1751195965.539500,4.000000,0.000000
